Title;Acronym;Description;Access URL;Included in data catalogue;Type;Has representation language;Format;Theme;Licence;Version;Source accessed on
AODN Discovery Parameter Vocabulary;AODN Discovery Parameters;An AODN controlled vocabulary describing discovery parameters. A classified version of the terms is used to support faceted searching in the AODN Portal.;https://vocabs.ardc.edu.au/viewById/22;ARDC, BARTOC;Glossary;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;All;CC BY 3.0 AU;1.5;2023-06-29
AODN Platform Vocabulary;AODN Platforms;An AODN controlled vocabulary describing platforms. A classified version of the terms is used to support faceted searching in the AODN Portal.;https://vocabs.ardc.edu.au/viewById/25;ARDC, BARTOC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Marine;CC BY 3.0 AU;5.2;2023-07-06
AODN Sampling Parameter Vocabulary;AODN Sampling Parameters;An AODN controlled vocabulary describing sampling parameters.;https://vocabs.ardc.edu.au/viewById/23;ARDC, BARTOC;Glossary;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Marine;CC BY 3.0 AU;1;2023-07-06
Faceted Application of Subject Terminology;FAST;FAST (Faceted Application of Subject Terminology) is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH). The purpose of adapting the LCSH with a simplified syntax to create FAST is to retain the very rich vocabulary of LCSH while making the schema easier to understand, control, apply, and use. The schema maintains upward compatibility with LCSH, and any valid set of LC subject headings can be converted to FAST headings. The FAST Authority file contains links to LCSH Authorities as will as other authoritative sources such as VIAF, GeoNames, and Wikipedia.;https://vocabs.ardc.edu.au/viewById/12;ARDC, BARTOC;Thesaurus;SKOS;N-Triples;All;ODC BY 1.0;12/08/22;2023-07-07
UoM;Not specified;Geoscience Australia's Units of Measure;https://vocabs.ardc.edu.au/viewById/182;ARDC, BARTOC;Glossary;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;All;Not specified;1.2;2023-07-07
Sampling Procedure;Not specified;Includes a typology of sampling methods.;https://vocabularies.cessda.eu/vocabulary/SamplingProcedure?lang=en;ARDC, BARTOC;Thesaurus;SKOS;RDF/XML, PDF, SKOS-Core;All;CC BY-SA 3.0 AU;1.1;2023-07-07
CABI Thesaurus;CABT;The CABI Thesaurus is the essential search tool for all users of the CAB ABSTRACTS™ and Global Health databases and related products. The CABI Thesaurus is not only an invaluable aid for database users but it has many potential uses by individuals and organizations indexing their own information resources for both internal use and on the Internet;https://www.cabi.org/cabthesaurus/mtwdk.exe;ARDC, BARTOC;Thesaurus;NONE;HTML;All;Not specified;Not specified;2023-06-29
Observation Method;Not specified;The method of collection used in an observation.;https://vocabs.ardc.edu.au/viewById/605;ARDC, BARTOC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, JSON-LD;All;CC-BY 4.0;10/02/20;2023-07-06
Mode of Collection;Not specified;The procedure, technique, or mode of inquiry used to attain the data.;https://vocabularies.cessda.eu/vocabulary/ModeOfCollection?lang=en;ARDC, BARTOC;Thesaurus;SKOS;RDF/XML, PDF, SKOS-Core;All;CC BY-SA 3.0 AU;3;2023-07-06
Standard Australian Classification of Countries;SACC;"The SACC is a classification of countries essentially based on the concept of geographic proximity. In its structure, it groups neighbouring countries into progressively broader geographic areas on the basis of their similarity in terms of social, cultural, economic and political characteristics.

The SACC has a three-level hierarchical structure. The third, and most detailed, level consists of the base units which are countries. The second level comprises 27 minor groups, which are groups of neighbouring countries similar in terms of social, cultural, economic and political characteristics. Each minor group lies wholly within the boundaries of a geographic continent. The first, and most general, level comprises nine major groups which are formed by aggregating geographically proximate minor groups. With the exception of North Africa and the Middle East, and Americas, each major group lies wholly within the bounds of a single geographic continent.

The classification also provides standard alternative groups of countries associated for economic or political purposes.";https://vocabs.ardc.edu.au/viewById/133;ARDC, BARTOC;Gazetteer;NONE;CSV;Geosphere;CC BY 3.0 AU;2016;2023-07-07
Particle Type;Not specified;This file contains the CGI Particle type vocabulary, as defined by the IUGS Commission for Geoscience Information (CGI) Geoscience Terminology Working Group. Used to specify particleType in particleTypeDescription associated with a compoundMaterial. Terms to specify the nature of individual particles of each constituent in an aggregation, based mostly on their genesis. Because the constituents are identifiable parts, the part units must have some definition. Examples include clasts, crystals, pore space, material fossil. Constituent type is determined based on the nature of the particles, and ideally is independent of the relationship between particles in a compound material aggregation. By extension, this vocabulary includes all concepts in this conceptScheme, as well as concepts in any previous versions of the scheme.;https://vocabs.ardc.edu.au/viewById/88;ARDC, BARTOC;Thesaurus;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;Geosphere;Not specified;16/07/21;2023-07-07
Processing Activity;Not specified;This file contains the CGI Processing Activity vocabulary, as defined by the IUGS Commission for Geoscience Information (CGI) Geoscience Terminology Working Group. The vocabulary defines concepts to categorize processing activities associated with a mining activity. A miningActivity and subsequent processingActivity provide the linkage between a minedMaterial and a mine Product. By extension, this vocabulary includes all concepts in this conceptScheme, as well as concepts in any previous versions of the scheme.;https://vocabs.ardc.edu.au/viewById/74;ARDC, BARTOC;Thesaurus;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;All;Not specified;16/07/21;2023-07-07
Stratigraphic Rank;Not specified;This scheme specifies concepts used to categorize the stratigraphic rank of geologic units, as compiled by the IUGS Commission for Geoscience Information (CGI) Geoscience Terminology Working Group. By extension, it includes all concepts in this conceptScheme, as well as concepts in any previous versions of the scheme.;https://vocabs.ardc.edu.au/viewById/57;ARDC, BARTOC;Thesaurus;SKOS;Turtle;Geosphere;CC BY 3.0 AU;16/07/21;2023-07-07
Simple Lithology;Not specified;This scheme specifies the concept space for Simple Lithology concepts, as defined by the IUGS Commission for Geoscience Information (CGI) Geoscience Terminology Working Group. By extension, it includes all concepts in this conceptScheme, as well as concepts in any previous versions of the scheme. This vocabulary is not designed to be a comprehensive list of all lithology terms.;https://vocabs.ardc.edu.au/viewById/56;ARDC, BARTOC;Thesaurus;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;Geosphere;CC BY 3.0 AU;0.1;2023-07-07
QUDT semantic specifications for units of measure, quantity kind, dimensions and data types;QUDT;"The QUDT, or ""Quantity, Unit, Dimension and Type"" schema defines the base classes properties, and restrictions used for modeling physical quantities, units of measure, and their dimensions in various measurement systems. The goal of the QUDT ontology is to provide a unified model of, measurable quantities, units for measuring different kinds of quantities, the numerical values of quantities in different units of measure and the data structures and data types used to store and manipulate these objects in software.

Except for unit prefixes, all units are specified in separate vocabularies. Descriptions are provided in both HTML and LaTeX formats. A quantity is a measure of an observable phenomenon, that, when associated with something, becomes a property of that thing; a particular object, event, or physical system.

A quantity has meaning in the context of a measurement (i.e. the thing measured, the measured value, the accuracy of measurement, etc.) whereas the underlying quantity kind is independent of any particular measurement. Thus, length is a quantity kind while the height of a rocket is a specific quantity of length; its magnitude that may be expressed in meters, feet, inches, etc. Or, as stated at Wikipedia, in the language of measurement, quantities are quantifiable aspects of the world, such as time, distance, velocity, mass, momentum, energy, and weight, and units are used to describe their measure. Many of these quantities are related to each other by various physical laws, and as a result the units of some of the quantities can be expressed as products (or ratios) of powers of other units (e.g., momentum is mass times velocity and velocity is measured in distance divided by time).";http://www.qudt.org/2.1/catalog/qudt-catalog.html;ARDC, BioPortal, LOV, GFBio Terminology Service, Bioregistry, BARTOC, FAIRsharing, I-ADOPT;Ontology;OWL;OWL, CSV, RDF/XML, Turtle;All;CC BY 4.0;Not specified;2023-07-05
Sex GBIF Vocabulary;Not specified;"A short vocabulary representing an organisms sex
";http://rs.gbif.org/vocabulary/gbif/sex;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-07
Vegetation Layer GBIF Vocabulary;Not specified;A vocabulary representing vegetation layers, including aquatic vegetation layers, and their sub-layers.;http://rs.gbif.org/vocabulary/gbif/vegetationLayer;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;05/04/16;2023-07-07
Nomenclatural Type Status Vocabulary;Not specified;"A vocabulary to be used for a nomenclatural type status of a specimen or name. See also the related type reason vocabulary. This release adds isoparatype.
";http://rs.gbif.org/vocabulary/gbif/type_status;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-06
Nomenclatural Type Designation Type Vocabulary;Not specified;A vocabulary to be used for reasons for a type designation of a specimen or name. See also the related type status vocabulary.;http://rs.gbif.org/vocabulary/gbif/type_designation_type;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-06
Taxonomic Rank GBIF Vocabulary;Not specified;"An ordered taxonomic rank vocabulary with the most frequently used values and their alternative representations.
";http://rs.gbif.org/vocabulary/gbif/rank;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;24/04/15;2023-07-07
Nomenclatural Status GBIF Vocabulary;Not specified;Nomenclatural Status GBIF Vocabulary;https://rs.gbif.org/vocabulary/gbif/nomenclatural_status_2019-02-08.xml;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;01/07/10;2023-07-06
Taxonomic Status GBIF Vocabulary;Not specified;Simple vocabulary to describe the taxonomic status of a name;http://rs.gbif.org/vocabulary/gbif/taxonomicStatus/;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-07
Preservation Method GBIF Vocabulary;Not specified;"The method used to preserve specimens. This vocabulary was based on the PreservationMethodClassVoc from the BioCASe MetaProfile
";http://rs.gbif.org/vocabulary/gbif/preservation_method;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;13/02/15;2023-07-06
Quantity Type Vocabulary;Not specified;"The quantityType Vocabulary is a recommended set of values to use for the Darwin Core quantityType property.
";http://rs.gbif.org/vocabulary/gbif/quantityType;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;10/07/15;2023-07-06
GBIF Dataset Type Vocabulary;Not specified;Vocabulary for dataset types used in the GBIF Network.;http://rs.gbif.org/vocabulary/gbif/datasetType;ARDC, GBIF Repository;Glossary;NONE;XML;Biosphere;Not specified;v1;2023-07-07
Categorical Values;Not specified;Not specified;http://linked.data.gov.au/def/tern-cv/235c4646-d7ad-411d-84f6-2feceef4923b;ARDC, TERN;Thesaurus;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;All;Not specified;28/06/23;2023-07-07
Methods;Not specified;Not specified;https://linkeddata.tern.org.au/viewer/tern/id/http://linked.data.gov.au/def/tern-cv/2fd44aca-168f-4177-b393-0688ce38102c;ARDC, TERN;Thesaurus;SKOS;Turtle, RDF/XML, JSON-LD, N-Triples, Notation3;All;Not specified;06/05/20;2023-07-06
Attribute Scheme;Attributes;Not specified;http://linked.data.gov.au/def/tern-cv/dd085299-ae86-4371-ae15-61dfa432f924;ARDC, TERN;Thesaurus;SKOS;Turtle, RDF/XML, JSON-LD, N-Triples, Notation3;Biosphere;Not specified;01/02/21;2023-07-06
Parameters Scheme;Not specified;Parameters Scheme;http://linked.data.gov.au/def/tern-cv/5699eca7-9ef0-47a6-bcfb-9306e0e2b85e;ARDC, TERN;Thesaurus;SKOS;Turtle, RDF/XML, JSON-LD, Notation3, N-Triples;Geosphere;Not specified;04/11/20;2023-07-06
TERN Instruments List;Not specified;TERN's instruments list. ;https://vocabs.ardc.edu.au/viewById/286;ARDC, TERN;Thesaurus;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;All;CC BY 3.0 AU;0.0.1;2023-07-07
TERN Platforms Vocabulary;Not specified;The Platforms Vocabulary is structured similar to GCMD Sources/Platforms but adjusted for TERN Requirements.;https://vocabs.ardc.edu.au/viewById/263;ARDC, TERN;Thesaurus;SKOS;JSON-LD, N-Triples, RDF/XML, Turtle;All;CC BY 3.0 AU;0.0.2;2023-07-07
Observation Themes;Not specified;The soil profile may be described using several types of observation.;http://linked.data.gov.au/def/tern-cv/396192ae-3bd5-4050-b578-93107510129c;ARDC, TERN;Thesaurus;SKOS;Turtle, RDF/XML, JSON-LD, Notation3, N-Triples;Geosphere;Not specified;08/01/21;2023-07-06
Observable properties;Not specified;A collection of observable properties. This vocabulary defines terms for observed properties originally used for groundwater, surface water and marine water quality observations. Most PropertyKinds are associated with a Species object via the objectOfInterest property or a real-world Feature via the featureOfInterest property. The sub-class of PropertyKinds that can be measured are ScaledQuantityKinds, which have appropriate units of measure (qudt:unit property). This water quality ontology re-uses the Quantities, Units, Dimensions, Data Types (QUDT) ontology which is developed by TopQuadrant and NASA.;https://catalogue.linked.data.gov.au/index.php/resource/197;BARTOC;Glossary;SKOS;Turtle;Biosphere-Geosphere-Marine;CC BY 4.0;Not specified;2023-07-04
Observable properties ontology;OP;A general purpose ontology for observable properties. The ontology supports description of both qualitative and quantitative properties. The allowed scale or units of measure may be specified. A property may be linked to substances-or-taxa and to features or realms, if they play a role in the definition.;https://catalogue.linked.data.gov.au/resource/196;BARTOC;Ontology;OWL;OWL;All;CC BY 3.0;Not specified;2023-07-04
SEMIDE thesaurus;Not specified;Not specified;http://www.emwis.org/portal_thesaurus/theme_concept_html?theme_id=0015;BARTOC;Glossary;NONE;HTML;Biosphere-Geosphere-Marine;Not specified;Not specified;2023-07-05
Earth Observation Systems Thesaurus;EOSterm;Not specified;https://vocabularyserver.com/cnr/ml/eosterm/en/index.php;BARTOC;Thesaurus;SKOS;JSON, XML, SKOS-Core;All;CC BY NC ND;Not specified;2023-06-30
Biocomplexity Thesaurus;Not specified;"An online resource supporting terms in a 'broader than' and 'narrower than' structure in ecological and biological sciences. It encompasses terminology that depicts human and non-human life, and their interactions. Concepts are included from the life sciences; environmental sciences; aquatic sciences and fisheries; ecotourism, fire ecology and management; and sociology.";https://www1.usgs.gov/csas/biocomplexity_thesaurus/index.html;BARTOC;Thesaurus;NONE;HTML;All;Public Domain Mark 1.0;Not specified;2023-06-29
Coastal and Marine Ecological Classification System;CMECS;Categories of ecosystems for coastal, estuarine, and marine environments.;https://apps.usgs.gov/thesaurus/;BARTOC;Thesaurus;SKOS;RDF/XML;Marine;Not specified;v1;2023-06-30
Ecolexicon - Terminological Knowledge Base on the Environment;EcoLexicon;EcoLexicon, a multilingual knowledge resource on the environment, provides an internally coherent information system covering a wide range of specialized linguistic and conceptual needs. Data in our terminological knowledge base (TKB) are primarily hosted in a relational database which is now linked to an ontology in order to apply reasoning techniques and enhance user queries. The advantages of ontological reasoning can only be obtained if conceptual description is based on systematic criteria and a wide inventory of non-hierarchical relations, which confer dynamism to knowledge representation. Thus, our research has mainly focused on conceptual modelling and providing a user-friendly multimodal interface. The dynamic interface, which combines conceptual (networks and definitions), linguistic (contexts, concordances) and graphical information offers users the freedom to surf it according to their needs. Furthermore, dynamism is also present at the representational level. Contextual constraints have been applied to reconceptualise versatile concepts that cause a great deal of information overload.;http://ecolexicon.ugr.es/visual/index_en.html;BARTOC;Ontology;OWL;OWL;All;Not specified;Not specified;2023-06-30
General Finnish ontology;YSO;"General Finnish Ontology YSO is a trilingual ontology consisting mainly of general concepts. YSO has been founded on the basis of concepts in Finnish cultural sphere. As an indexing tool it is best applicable when indexed material is interdiscliplinary and its themes vary to a great extent. YSO's hierarchical construction is founded on parent-child relationships. In addition to this, some concepts are supplemented with associative and part-whole relations. Each concept in YSO is issued to at least one thematic group and some concepts have also been grouped with a non-hierarchical collection label (such as ""clothes by materials""). Following the international standards for thesauri, the terms for concepts are usually plural nouns. Terms in singular are usually mass nouns or terms referring to actions or abstract concepts. Some terms carry a different meaning when used in plural and in singular. For example, ballet refers to an art form and ballets to individual works of art. Place names are contained in a separate ontology, YSO places. YSO is based on General Finnish Thesaurus (YSA) and General Finnish Thesaurus in Swedish (Allärs). Concepts in YSO and concepts in YSA and Allärs have been linked to each other with equivalence relationships. YSO has also been linked to Library of Congress Subject Headings (LCSH).";http://finto.fi/yso/en/;BARTOC;Thesaurus;SKOS;RDF/XML, Turtle, MARCXML/Finnish, MARCXML/Swedish;All;CC BY 4.0;Not specified;2023-07-03
Law & Environment Ontology;LEO;LEO aims to provide an agreed to semantic standard for any institution or organization that collects and manages data, information and knowledge in the field of Environmental Law and Governance. The development of a semantic Ontology for Multilateral Environmental Agreements (MEAs) and International Environmental Law was identified as a priority for MEA Secretariats and UNEP at the first meeting of the MEA Information and Knowledge Management (IKM) Initiative. Members to the MEA IKM Initiative agreed on the need for a ‘controlled vocabulary’ to allow for easier searching, locating and retrieving of MEA information such as decisions by MEA governing bodies and meeting documents, reports and national plans. Generous financial support from the European Union provided for the review and enhancement of the draft InforMEA glossary through a Multi-Stakeholder process. The MEA IKM Initiative identified the IUCN Environmental Law Centre as collaborator in the development of the next version of the vocabulary and chose the FAO’s VOCbench system as the platform for the development and maintenance of the vocabulary. The IKM Initiative also reached out to organizations involved in the development of thesauri, such as the European Environment Agency’s GEMET, the ECOLEX and the FAOlex glossary.;https://www.informea.org/en/terms;BARTOC;Glossary;SKOS;RDF/XML;All;Not specified;Not specified;2023-07-03
The Machine-to-Machine Measurement Lite Ontology ;M3lite;M3 lite taxonomy is designed for the FIESTA-IOT H2020 EU project. We refactor, clean and simplify the M3 ontology designed by Eurecom (Amelie Gyrard). M3 ontology lite is currently aligned with the quantity taxonomy used by several testbeds: SmartSantander (Spain), University of Surrey (United Kingdom), KETI (Korea) and Com4Innov (France).;http://iot.ee.surrey.ac.uk/ontology/m3-lite.owl;BARTOC;Ontology;OWL;OWL;All;CC BY 4.0;v3.0;2023-07-06
CBD Controlled Vocabulary;Not specified;The CBD Controlled Vocabulary was developed in 2003 with the intent to establish a list of terms to be used as descriptors (i.e. metadata) for CBD documents and web pages.;https://www.cbd.int/doc/lists/cbd-voc.pdf;BARTOC;Thesaurus;NONE;PDF;All;Not specified;Not specified;2023-06-29
CoRIS Glossary;Not specified;The CoRIS glossary and acronym list contains terms concerned with ecology, biogeography, evolution, taxonomy, morphology, physiology, cell and molecular biology, genetics, mapping, development, fisheries, oceanography, geosciences, conservation programs, remote-sensing, physics, chemistry, and data and information management.;https://www.coris.noaa.gov/glossary/#/;BARTOC;Glossary;NONE;PDF;All;Not specified;Not specified;2023-06-30
EUNIS database in RDF/XML;EUNIS;The European nature information system, EUNIS, brings together European data from several databases and organisations into three interlinked modules on sites, species and habitat types.;https://eunis.eea.europa.eu/about;BARTOC;Categorisation scheme;SKOS;RDF/XML;Biosphere-Geosphere-Marine;CC BY 2.5 DK;Not specified;2023-07-03
Nomenclature of territorial units for statistics classification;NUTS;"The NUTS classification (Nomenclature of territorial units for statistics) is a hierarchical system for dividing up the economic territory of the EU for the purpose of:

a) The collection, development and harmonisation of European regional statistics;

b) Socio-economic analyses of the regions;

c) Framing of EU regional policies (e.g. cohesion policy).

The system is based on population thresholds and favours administrative division. The legal acts behind started with Commission Regulation (EC) No 1059/2003 which specify stability of the classification for at least three years.";http://data.europa.eu/88u/dataset/ESTAT-NUTS-classification;BARTOC;Gazetteer;SKOS;RDF/XML, Turtle, JSON-LD, N-Triples, Notation3;Geosphere;Not specified;v2018;2023-07-04
Environmental Applications Reference Thesaurus;EARTh;"The paper aims at providing a description of EARTh, the Environmental Application Reference Thesaurus. It represents a general-purpose thesaurus for the environment, which has been published as a SKOS dataset in the Linked Open Data cloud. It promises to become a core tool for indexing and discovery environmental resources by refining and extending GEMET, which is considered the de facto standard when speaking of general-purpose thesaurus for the environment in Europe, besides it has been interlinked to popular LOD datasets as AGROVOC, EUROVOC, DBPEDIA and UMTHES. The paper illustrates the main characteristics of EARTh as a guide to its usage. It clarifies (i) the methodology adopted to define the EARTh content; (ii) the design and technological choices made when publishing EARTh as Linked Data; (iii) the information pertaining to its access and maintenance. Descriptions of EARTh applications and future relevance are highlighted. ";https://vocabularyserver.com/cnr/ml/earth/en/sobre.php;BARTOC;Thesaurus;SKOS;JSON, XML, SKOS-Core;All;CC BY NC ND 3.0;Not specified;2023-06-30
Marine Gazetteer;Not specified;The purpose of Marine Regions is therefore to create a standard, relational list of geographic names, coupled with information and maps of the geographic location of these features. This will improve access and clarity of the different geographic, marine names such as seas, sandbanks, ridges and bays and display univocally the boundaries of marine biogeographic or managerial marine areas.;http://www.marineregions.org/gazetteer.php?p=search;BARTOC;Gazetteer;SKOS;Turtle;Marine;CC BY 4.0;Not specified;2023-07-03
Thesaurus for Soil Invertebrate Trait-based Approaches;T-SITA;The T-SITA proposes a non-exhaustive, semantically structured, list of traits and ecological preferences.;https://t-sita.betsi.cnrs.fr/BETSI_vizHierarchy.jsp;BARTOC;Thesaurus;SKOS;SKOS-Core;Biosphere;Not specified;v1;2023-07-06
Biodiversity Thesaurus;Not specified;This bilingual thesaurus organizes the key concepts of biodiversity sciences, in their basic and applied ecological components. It uses polyhierarchy and includes 818 reciprocal associative relationships. The 1654 French and English descriptors (designating 827 concepts) are enriched with a large number of synonyms (1860) and hidden variants (7020) in both languages. Concepts are grouped into 82 collections, by semantic categories, thematic fields and EBV classes (Essential Biodiversity Variables). Definitions are given with their sources. This resource is aligned with the international thesauri AGROVOC, GEMET (GEneral Multilingual Environmental Thesaurus) and EnvThes (Environmental Thesaurus), as well as with the ontology ENVO (Environment Ontology).;https://www.loterre.fr/skosmos/BLH/fr/;BARTOC;Thesaurus;SKOS;RDF/XML, Turtle;Biosphere;CC BY 4.0;2.1;2023-06-29
AODN Discovery Parameter Vocabulary;AODN Discovery Parameters;An AODN controlled vocabulary describing discovery parameters. A classified version of the terms is used to support faceted searching in the AODN Portal.;https://vocabs.ands.org.au/viewById/22;BARTOC, ARDC;Glossary;SKOS;RDF/XML, N-Triples, Turtle, Notation3, N-Quads, RDF/JSON, JSON-LD, TriX, TriG, Sesame Binary RDF;All;CC BY 3.0 AU;v1.5;2023-06-29
BBC Wildlife Ontology;Not specified;A simple vocabulary for describing biological species and related taxa. The vocabulary defines terms for describing the names and ranking of taxa, as well as providing support for describing their habitats, conservation status, and behavioural characteristics, etcCopyright© 2010 the British Broadcasting Corporation.;https://www.bbc.co.uk/ontologies/wildlife-ontology/;BARTOC, LOV;Ontology;OWL;Turtle;Biosphere;CC BY 1.0;v1.1;2023-06-29
TDWG Specimen LSID Ontology;TDWGSPEC;Biodiversity Information Standards (TDWG) is an international not-for-profit group that develops standards and protocols for sharing biodiversity data. They have a detailed collection of vocabularies and ontologies for studies of biological organisms.;https://bioportal.bioontology.org/ontologies/TDWGSPEC;BioPortal;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;v0.3;2023-07-06
Whole-cell modeling ontology;WC;Ontology for whole-cell (WC) modeling See https://wholecell.org for more information about WC modeling;https://bioportal.bioontology.org/ontologies/WC;BioPortal;Ontology;OWL;OBO, CSV, RDF/XML;Biosphere;MIT License;v0.0.1;2023-07-06
ENVS Variables;ENVS_VARIABLES;Quantitative and qualitative variables describing environmental state;https://bioportal.bioontology.org/ontologies/ENVS_VARIABLES/?p=summary;BioPortal;Thesaurus;SKOS;CSV, RDF/XML, Turtle;Atmosphere-Geosphere-Marine;Not specified;v0.1.1;2023-07-03
Tribolium Ontology;TRON;TrOn is an ontology about the anatomical structures of the red flour beetle Tribolium castaneum in the developmental stages larva, pupa and adult.;https://bioportal.bioontology.org/ontologies/TRON;BioPortal;Ontology;OWL;OBO, CSV, RDF/XML;Biosphere;Not specified;Not specified;2023-07-06
Salmon Ontology;SALMON;An ontology representing knowledge about salmon, features of their habitats, salmon stakeholders, and related entities. This ontology is considered to be in the early stages of development, though it is based upon considerable previous work. Contributions of all kinds are welcome and encouraged, including alignments, updates to existing terms, and new terms.;https://bioportal.bioontology.org/ontologies/SALMON;BioPortal, AberOWL;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;v0.3.1;2023-07-05
Biological and Environmental Research Ontology;BERO;Biological and Environmental Research Ontology (BERO) is an application ontology developed by the combination of many ontologies (base or subsets) namely : ChEBI, ECOCORE, EDAM, ENVO, GO, MeSH, MOP, NCBITaxon, NCIT, OBI, OMO, PATO, PO and TO.;https://bioportal.bioontology.org/ontologies/BERO;BioPortal, AberOWL;Ontology;OWL;OWL;Biosphere;Not specified;Not specified;2023-06-30
Ontology for Generic Dataset Metadata Template;FDC-GDMT;Controlled terms and semantic properties used in the FAIR Data Collective's Generic Dataset Metadata Template.;https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=summary;BioPortal, AberOWL;Thesaurus;SKOS;RDF/XML, CSV, Turtle;All;CC BY 4.0;v0.3.7;2023-07-04
Reusable Biodiversity Ontology;RDO;Facilitating Biodiversity information;https://bioportal.bioontology.org/ontologies/RDO;BioPortal, AberOWL;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;v1.1;2023-07-05
Forest Observatory Ontology;FOO;"The Forest Observatory Ontology (FOO) ( is an ontology for describing wildlife data generated by sensors. FOO's scope evolves around the Internet of Things (IoT) and wildlife habitats. To illustrate our datasets of interest, we modelled the concept to represent ""sensors observing animals and land"". These sensors generate observations. For example, the animal GPS collar tracks an elephant and records its geo-location observations for different and equally spaced time intervals and temperature every specified time interval. We adopted classes and properties from SOSA and BBC wildlife ontologies to model the domain coverage.";https://bioportal.bioontology.org/ontologies/FOO;BioPortal, AberOWL;Ontology;OWL;OWL, CSV, RDF/XML;All;CC0 1.0;v1.2.3;2023-07-03
Invasion Biology Ontology;INBIO;The Invasion Biology Ontology (INBIO) contains terms and concepts relevant in the field of invasion biology, which is a research area dealing with the translocation, establishment, spread, impact and management of species outside of their native ranges, where they are called non-native or alien species. This first version of the ontology covers terms and concepts needed to describe twelve major invasion hypotheses building the hierarchical hypothesis network (see also Jeschke JM, Heger T (Eds) (2018) Invasion Biology: Hypotheses and Evidence. CABI, Wallingford, UK).;https://bioportal.bioontology.org/ontologies/INBIO?p=summary;BioPortal, AberOWL;Ontology;OWL;OWL;Biosphere;CC BY 1.0;v1.1;2023-07-03
Life Ontology;LIFO;The Life Ontology (LifO) is an ontology of the life of organism. LifO represents the life processes of organisms and related entities and relations. LifO is a general purpose ontology that covers the common features associated with different organisms such as unicellular prokaryotes (e.g., E. coli) and multicellular organisms (e.g., human).;https://bioportal.bioontology.org/ontologies/LIFO/?p=summary;BioPortal, AberOWL;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;v1.0.17;2023-07-03
Reproductive Trait and Phenotype Ontology;REPO;Ontology for livestock reproductive traits and phenotypes;https://bioportal.bioontology.org/ontologies/REPO;BioPortal, AberOWL, FAIRsharing;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;Not specified;v1.1;2023-07-05
Just Enough Results Model;JERM;The JERM provides a framework to describe SEEK assets and the relationships between assets and the experiments that created them. Crucially, all assets are related to the scientists that created them and the projects they originate from, so the model captures provenance information as well as physical links between assets. JERM definitions for each type of data in SEEK is different, but highly overlapping and they comply with existing MIBBI (Minimum Information for Biological and Biomedical Investigations) guidelines where they are available. The JERM describes what type of experiment was performed, who performed it, and what was measured. These elements are common to all data types in Systems Biology, but each data type (e.g. microarray, mass spectrometry, enzymatic reactions), requires a different set of additional metadata. For enzyme experiments, the reactions being catalyzed need to be recorded, with substrates, products, and details of inhibition. For microarray experiments, the methods for quality control and normalization of the data should be recorded. For proteomics or metabolomics with mass spectrometry, detailed descriptions of the instruments are required. For all cases, however, a description of the biological samples and any treatments applied is essential in order to understand the results of the experiment.;https://jermontology.org/;BioPortal, AberOWL, FAIRsharing;Ontology;OWL;OWL, CSV, RDF/XML;Biosphere;"BSD 3 Clause ""New"" or ""Revised"" License";v2;2023-07-03
